formula,target
TiCuF6,1
KH2N,1
ZrGe2,1
Zr2Te2P,1
BiSe,1
PbIF,1
ZrTe3,1
CrSBr,1
Eu2ZnGe3,1
YSb2,1
Zn2SiO4,1
Cu2Te,1
YCl3,1
GeS,1
U4Te3O4,1
PdSe2,1
Cr3N2,1
UI3,1
Sr2Cu(ClO)2,1
BaIF,1
UPb2,1
NiCl2,1
CaSn4S9,1
Np(OF)2,1
TaNiTe2,1
UTeP,1
Zr3SO9,1
LaSe,1
DyCl3,1
P2H4PbO4,1
NiTe2,1
Nb(SBr)2,1
NbTe5Pd,1
ZrCl,1
ZrSiTe,1
ThBrN,1
Sn(CCl)2,1
AgN3,1
LiBiO2,1
LiAuF4,1
BiTe,1
ErCoGe2,1
GeI2,1
YS,1
Bi2Se3,1
RhCl3,1
InSe,1
TiBrN,1
ErSeI,1
Nb3GeTe6,1
NbCrSe5,1
PbI2,1
Mn(HO)2,1
KFe2Se3,1
TeRhCl,1
Pb(CO2)2,1
V2PbO6,1
NaSb5O8,1
Hf3Te2,1
Ca(AuF6)2,1
Bi2Te2S,1
SiP,1
Sn(SbTe2)2,1
AgClO2,1
Sc2CCl2,1
PbBr2,1
CdWO4,1
Sn3PO6,1
UNCl,1
Cd3P2,1
Ta2AgF12,1
ThIN,1
CdCl2,1
CuTe,1
TbBr,1
Se2O5,1
Bi2TeO5,1
Au2Se2O7,1
Ag2IOF,1
PbBrCl,1
AuI,1
Tl4O3,1
YCI,1
Ge3Sb2O9,1
NaNbCl6,1
Mg2Si,1
TeI,1
NaMnAs,1
Na2ZnCl4O3,1
Mn2NiO6,1
AuSe,1
CaHBr,1
NdI2,1
Li2TeO3,1
NdBrO,1
Zr(IO3)4,1
VPO5,1
TaS2,1
LiV2O5,1
TiClO,1
Sc7Cl10,1
Hg2ClO,1
P2O5,1
CaMnGe,1
TlF3,1
GaTeCl,1
Te4O9,1
Sn4Pt,1
CoCl2,1
Zn(InS2)2,1
Nb(SeCl)2,1
GaSe,1
Sb2Se3,1
ScSi3Ni2,1
CaThBr6,1
Sr3Co2Cl2O5,1
InTeI,1
RbMnAs,1
Mn2Te3O8,1
ZrIN,1
KMnP,1
MgI2,1
ThI4,1
ZrSe2,1
Mg(AlS2)2,1
ScCl,1
Ga2FeS4,1
TlRe3(Se2Cl)2,1
K2RuBr6,1
KNb3O8,1
VCl3,1
SbI3,1
GaSeBr7,1
Te4Pt3,1
USe2O7,1
TlBS3,1
SiTe2,1
AlClO,1
HgI2,1
UIN,1
PtPb4,1
Fe(SbS2)2,1
PbO,1
PtI2,1
FeSi2,1
Ce2O3,1
Li2Te2O5,1
LuSBr,1
RbMnP,1
Na4Br2O,1
AlPd5I2,1
CaH4SO6,1
In4Se3,1
CuCO3,1
Ni2Te3O8,1
FeCl2,1
RbPbI3,1
K2Hg3(GeS4)2,1
In2O3,1
Te2O3F2,1
CaMg(SiO3)2,1
CuHOF,1
AgXeF9,1
LaI3,1
Sb2S3,1
CuBiS2,1
InClO,1
Cu2SO4,1
Te2Au,1
BaTe2F10,1
Pr2Br5,1
BiTeI,1
Sb2S2O,1
CaHI,1
K2MgCl4,1
WSe2,1
Ca(HO)2,1
ErSCl,1
Y2NCl3,1
InAg(PSe3)2,1
Sc2NCl2,1
TbCl,1
TlIn(PSe3)2,1
InAg(PS3)2,1
CaClF,1
TiBrO,1
Ge(Te2As)2,1
MnBr2,1
TiCl2,1
GaS,1
TaI2O,1
LaBr,1
MoCl3,1
GaHO2,1
Pb2O3,1
Sr3Fe2Cl2O5,1
SiAs,1
Bi(TeBr2)2,1
CrClO,1
RhBr3,1
GeAs2,1
InSbS3,1
