formula,target
As8Ba4O28Zn4,0
Si2W6,0
Be12Ti,0
Ni6O16P4,0
B6Hf2Ni21,0
Fe4Ge4Li8O16,0
O20P4Sr2V4,0
Cu4NS3,0
Fe4Ga12,0
Na8Se8Sn2,0
C4H14Cl2O6Se2Sn2,0
AlDy,0
EuRu2Si2,0
C2Na6Ni2O14P2,0
Al4Ba2O28Si6,0
HgPt3,0
Cd2Cu4Se8Si2,0
Cs2F6Ti,0
Pt10Se8,0
Ni2O2Zr6,0
Pd2Sb2Sr,0
Be2Zn,0
AgBe12,0
Li2Rb4S8V2,0
Ag4H2Ni6O24P6,0
Al8Cu4Pr,0
CrO6Sr2Y,0
In8Pb7Sr21,0
N2Re4,0
BrHf2I5,0
Ge4Na2O12Sc2,0
La4S4,0
Ag2K4Se8V2,0
La4Ni40P16,0
Ba4P4Pt4,0
O14P2Sr3TeZn3,0
F2O24P6Sr10,0
CAu,0
Ba2H16Mg4Ru2,0
LiRh3,0
CaTl3,0
I8La2Sr2,0
Br8H16Li16N8,0
Ge3LaOs,0
Gd2Na2O10Ti3,0
Al44Pt16,0
Cl8Te16,0
P2S6V2,0
Al8Ni2Y2,0
Zn2N4S8H12,0
F6O2P2,0
Au2Bi2Pb4S6Te4,0
BrCoN2O2,0
Gd2H4I6O20,0
Br6K2Os,0
C8H32Cd4Cl12N4,0
Pr2Sb4Zn2,0
Fe4Ho2,0
As4Au2Pr2,0
C12H12Cd3O18,0
H8O16Pb12,0
Ca6O27S6,0
Be26Gd2,0
Fe4Yb2,0
MgSr,0
I2P2Se2,0
C4Ir2,0
Mo4Zr2,0
B6CrO18ScSr6,0
CaCo2P2,0
GaO6OsSr2,0
Cu3O12V4Y,0
Al2H18MnO18P2,0
Sc8Sr4Te16,0
N2Tc,0
C2As2V4,0
Pb6Si2Zr10,0
CuF6Pb,0
Bi2Cu2O4,0
Cl8Mo4Na10O16,0
F12Rb4Ti2,0
H36K4Na4Re4,0
C15Re5Y12,0
Cs2ErF6Na,0
I2O2Y2,0
C2N8Si4,0
Bi4O24S4,0
O14Rb12Ti4,0
Ag2Au2Ba8O12,0
Ga2In6O8Pt,0
BaGe2Mn2,0
CdCl4CuH8O4,0
Al2H18MgO18P2,0
Gd4Pb2Pt4,0
LaNi2Si2,0
Nb2W2Cl12,0
I8Li8O24,0
Br12Nb4Se4,0
Li2Mo6Se6,0
HoSe,0
Bi4F4O4,0
B4Cr4,0
Ca10H2P6,0
Cl6HoLiRb2,0
B6Mg3Ni9,0
Cu8S12Tl8,0
C14Ir6,0
As3Na3Sr3,0
Eu4In4Rh4,0
Cl2In2O2,0
Cu4S6Si2,0
C2BaMgO6,0
Cl6LiRb2Sc,0
O8Os4,0
Y8Zn12,0
La3Mg3Pd3,0
Ba8O18Pt4Sc3,0
Mn2O12Se4,0
Cs4Ga12S20,0
Li8O24Te4W4,0
As6Ca2Fe10,0
O2Ta2Br6,0
Ag2Ge4O24P6,0
As2BaOTi2,0
Ir2Li2Sn8,0
O7Sr3Ti2,0
Ca11O18SSi4,0
AuNi3Si6,0
N4Mo8Br28,0
H6Rb2Si,0
Cr6O24P6,0
FeSe2Tl2,0
K4P4Si2,0
Ba9Cl2Cu7O15,0
Cr6Ir2,0
C12Fe2N12Pt3,0
S4Zn4,0
Ca4O24Si8Zr2,0
NaSe8Ti5,0
Cs16O12Pb4,0
AlNi2Ta,0
Sb4Ta2,0
Cs2Ga14,0
As8Ga4Sr6,0
Cr4La4O16,0
Al2K4Li2P4,0
Rh2Br6Se12,0
ITa4Te12,0
In4O16V4,0
Ca2P6,0
H16K8Zn4,0
Eu2In4Se8,0
Hf4P4V4,0
Cs4Li2O8V2,0
As4Ni4V4,0
F6Na2Zn2,0
Be6Br2Li8O24P6,0
Cs8Mo4S16,0
Ca4O14Ta4,0
Li8O10Se2,0
Ba2Cu4O8Y,0
H18Sc6,0
Hf2Cl6,0
N2NaTa,0
OI4Ta4Te9,0
Cs3HO8Se2,0
B4Fe2Mo4,0
Ni8Si2V24,0
Cr2Sb4,0
CdLiSb,0
Ca4Ga16,0
Na12Ru4,0
AlGa3N4,0
As4F28Hg4,0
O8Tl4W2,0
Cr2Mo2O8,0
B8H16O16,0
Al2Zr4,0
GdPtSb,0
Ge8Li8,0
Co4Gd2Zn40,0
Cu8I8S24P32,0
Ge4Na2O24Ti8,0
C8B4Ca18Cl16,0
B4Nb6Ru10,0
Au2La2Sb4,0
Eu2Ga6Pd2,0
Cu2Sn6Zr10,0
La2Si4,0
AlCoFeV,0
B8Ca4H12,0
In4Lu2,0
O20P4Ta4,0
Ga4S4Te2,0
Re4O8H12,0
Cr6N3,0
TaTe2,0
P2Pd2Y,0
Cu2F8H24N4O4,0
Ge34K6,0
NbRu3,0
Au3Cd3Y3,0
DyPo,0
C16Cu2N12,0
Ba2Zn4,0
Ca2H4O12P2,0
In2Lu4Pd4,0
Cu3O12V4Y,0
F10O2Rb4Ti2,0
Hg6O24Se8,0
Cs2F6Nb,0
Ir4O14Pr4,0
Fe8Ti4,0
Ta4I20,0
Cu4S6Sn2,0
B6Hf3Ni20,0
C8Cs2O18Y2,0
Si4Se16Ta16,0
K2O8Pt6,0
Cu4S8Y4,0
O16V8,0
Sr2Tl4,0
Dy4Ga12Ni,0
Cu2La2O2Se2,0
Ge4Mn4Yb4,0
Ba4Co8Gd4O24,0
Cl6In2,0
C2I10La6,0
As2EuFe2,0
O3Zr6,0
AlRu2V,0
Po2Ti2,0
Cl18Nb6Tl2V,0
CuNaO2,0
Cs2Pd3Se4,0
Ca6Ge2O2,0
BaFe2GdO5,0
Cs2K2Mo6O20,0
As4Ba3Zn2,0
I8Se8O44,0
CrF6K2Li,0
C6Co23,0
Ca2In4S8,0
Br22Nb8Rb2,0
Al4Au4Eu2,0
F12Gd2K6,0
K2Mo4O26P6,0
C4Br12Li4N8Sr8,0
In2S6Zn3,0
C12N12S6,0
Bi6Hf6,0
Ca2Ga4Pt2,0
Pd4Sb4Zr4,0
Al2Ca2O10Ta2,0
Al4Cl16In4,0
MoTeHf2Cl3Br5,0
Ca4Mg8Pt4,0
LaSb,0
HfRu3,0
Mo2Hg4O8,0
Gd2Mg2Sn2,0
CLa3Tl,0
H8O20Si8,0
In6Sr10,0
Al3Au3Lu3,0
La2O2Sb2Zn2,0
In4K8Na4Sb8,0
MgPt,0
Si16Y20,0
Gd2Sb4Zn2,0
Mn2Tb8,0
Ba6Ni3O18Os3,0
MnSb2Te4,0
Mo4Te4I12,0
Cl18Nb6Rb4,0
CuEu,0
Ge6Ru4Y6,0
F6NaRb2Sc,0
Pt4Sn4Tb4,0
W,0
As2BaGeO8,0
AlMg4Si6,0
Gd8K4Na4Nb4O26,0
Ni15PtTi16,0
CaFe2P2,0
Li2MgZn,0
LuSn3,0
Cl12Cs4Sr4,0
AlMg,0
K4O30Si12Ti2,0
Mn2Rb4S12Te4,0
Fe23Gd6,0
Au3Ga3Mg3,0
Gd2Pt4Sn2,0
Cs6F6Mo4O12,0
RhSc,0
AlCoTi2,0
Ba6Na2O18Ru4,0
Cl20In4O4Rb8,0
B8Ir4Mo8,0
Ir6Si2,0
Cr4Kr4F24,0
C4H12Ge4N4O4,0
Cr8,0
P12Ru19Sm5,0
CaFeO2,0
Ag6Rb3S12Sb3,0
H8O12P2Y2,0
Li4O10S2,0
F20I4Sn12,0
Ba2Ga2H10,0
Br2N2Zr2,0
Hg2P2S7,0
Ni3W,0
CEr2N2O2,0
C8Br4Fe2O8,0
H4V8,0
B2Li4Na2O16P4,0
Cd4P2,0
Bi2La2O28,0
B4Mg4O12Rb4,0
Cs2F6Sn,0
F8Pd2,0
FN,0
Fe23Tm6,0
I2S2Tl2,0
Ga12Y2,0
Rh2Y8,0
F2K2O4Se2,0
As4Be2Si2,0
O32Sc4Se8V4,0
CuInTa2Te4,0
Mg2Na4O24Si10,0
O23Rb6Si10,0
Cs4H8Pd2,0
Al2Eu2O6,0
Cr4Hf4Si4,0
Mn4O24Sn4,0
GaRu2V,0
F6NiSn,0
IrMnSb,0
Ni2O26Te12,0
F36O4Re4Sb4,0
Ce3Pd20Si6,0
F24Hg2O4Zn2,0
Cd2P8,0
B4Bi4O12,0
Ba4Gd8S16,0
Cl6Cs2Mo,0
B8Eu9Na3O27,0
Ag2La2O4,0
Cl24Mo2Se4,0
Ga2P2,0
Mn6Ti10,0
P12Re4,0
AuHoSn,0
Cl6ErLiRb2,0
Al2Cl10N2P2,0
H16Ni4O20Se4,0
F16O16Se8,0
Cl16Re4Se4Te4,0
Au2Na8,0
BrCa2N,0
Ag2C2N2O2,0
Ag3BO3,0
STa3I8,0
Al4Au8Hf12,0
AlCoMnRh,0
InLa3,0
Ga12Mn4Zr6,0
N8Si6,0
Ag2Ge2Sr,0
CdCsN3O6,0
Co4Hf20Te12,0
Al2Si2Y,0
Ba6P8,0
Cu2Se4,0
Ag2Br4Cs2,0
Zn2C4O8,0
Nb6Ni7,0
Ge2Hg4O8,0
Fe4Ge4Ta4,0
NbRu3,0
OI4Ta4Te9,0
O28S12Si8Y16,0
Pd14Se4,0
H2Pr2Se2,0
Au3La3Mg3,0
O16Sr4W4,0
Ti2,0
Br18Cs2Hf4,0
Al4Lu2O15Sr6,0
Au2Gd2Ge2,0
F3FeRb,0
NiSi,0
Cu4Y2,0
Eu2Sn4Zn4,0
Fe4S4,0
Bi6I18,0
Ge2LuNi2,0
Li3Si3Y3,0
C24Co8O24Sb8,0
Al3CaCu2,0
Al6Fe28Y4,0
Gd8Ge16Sc12,0
CeCl6Cs2Li,0
RuSc6Te2,0
CGaGd3,0
Ir2La4Na2O12,0
Mn2S16Ta8,0
KO2Tl,0
C2Na2H4O6,0
Cu2FeS4Sn,0
LaPd2Si2,0
Cl2Co2O5Sr3,0
Cd6Mo2O20Te4,0
Si8Y4,0
Be4Ge4N8,0
Cu2Se2Tl2,0
Al14Ca13,0
LiMo3O8Y,0
Cr2FeO10Tl,0
C12Cl6Gd10,0
F6GdK3,0
Br6Cs2NaSc,0
Bi4O12Ti3,0
Ba2Hg2Sn2,0
As2Fe2Nd2,0
Fe4Pr2,0
Cl2Si3Ti3Br5Se7,0
Ca2In4P4,0
Nb16O32,0
IPdSiBr2Cl2Ti4S7,0
C12Cl12,0
B2FeW2,0
K2O8Pt6,0
N8Sn6,0
GeTi2,0
Co2H4O10Se2,0
F14Mn2Rb2Zr2,0
Mo4Cl16,0
H2Na2O14P4Zn2,0
PPt2Br9,0
TiW2I9,0
Cr2Nb6Se12,0
Hg14O20P4,0
InMo6S8,0
MoTeHf2Cl3Br5,0
Bi16Zr8,0
Gd2H6O6,0
Br6N2Te,0
Nb6O12Ti2,0
Cl6PdRb2,0
C8H16I8Sn2,0
Si2Ti2Te6,0
C2N4O2,0
GeO6SrTe,0
Ga8Rh3Y3,0
Ba3Bi4Li4,0
Hf4O12,0
Fe11Si5,0
Bi4FeS7,0
BiLi6O6Rb,0
B24Gd8Os4,0
Mo16S16Cl48,0
MoSiWBr9,0
BIr6Sc2,0
Os4P4Zr4,0
Mn4O6,0
P16Pt8Si16,0
Cs8Mo4O16,0
Au3In3Yb3,0
C12Cs4N18Na2,0
Ba2Ge2Zn2,0
Mn4O24Sb4V4,0
Mg4Mn8O16,0
Cl12K4Pb2,0
C8N20O16Rb4,0
Ge6PdY2,0
Sr2Zn22,0
