formula,target
As2Br2Hg6Se8,0
Li2UO4,1
Cr4Ge10Ti8,0
MoSb2,1
C4Cl2Cs2N4Ni2,0
Hg2Ti6,0
Cu4F4I4O4,1
Eu4I8,0
C2H12FeN10O6,0
Ga4H4O8,0
Nb2S6,1
YbP2,1
I2O2Mn3,1
Ca3Cd3Ge3,0
Pb4Sn4Te12,0
C6Ba8Cs6F10O18,0
Pb2Sr2,0
BiDyO3,0
Cu30Si8,0
B24Gd8Os4,0
Nb2CoS4,1
AuInO2,0
Cd4F12H20N8,0
Cu8Rb4Ta4Te16,0
Cu23Tb6,0
H2Na2Se2,1
Ba2Mn6O28P8,0
PoZn,0
HfZr3Se8,1
Mg(SnN)2,1
ClNNbSe,1
Al2Na2Te4,0
BaI2,1
Ge6PtY2,0
Al6Y2,0
Cs2Se6Y2Zn2,0
PrTe,0
H4Li4S4,0
Mn2O12Se4,0
F2Fe2Sb2Te4,1
CoC2H4O6,0
BrIOSNi2,1
SrI2,1
Al2Se4,1
Ni2Pb6Y10,0
P2Tl2Te6,1
As6Ge6Na,0
Rb2Te2Cd4Cl6S6,1
MoMn2Nb3Se8,1
Hf4Nd4O14,0
C6H18Al2Cl6P2,0
Os2P2Te6,1
Pb2I4,1
I2O12Rb2Sn2,0
AlSiSe2I4,0
Cs4F16Fe4,0
OPr,0
AuBrClScO2,1
C2H8N6O6,0
Ca2O20P4Zn4,0
BrCoN2O2,0
Li2Nb2S4,0
C12Cl24,0
Li5NaSn4,0
CCaN2,0
MoI4,1
Nb4O8,1
La4O14Zr4,0
Mg2O12Pt2Sm4,0
K8O6Sb4,0
B8Ba2O24Sb4,0
IrF4,1
B4Ir4Li4,0
BrFeSeMn2Cl3,1
YS2,1
BrINbTaS2,1
AgS2,1
C2B2Li2,0
B48Mg4Si8,0
C8H12Ba2O14,0
CaFe2Si2,0
Fe2Li4O8Si2,0
Hf4Ni4Si4,0
La12O28Ta4,0
As2Bi2S6,1
AsPt5Tl,0
F14Ge2Tl6,0
InSb2S4Cl,1
HfRh3,0
PdC2I2F4B6,1
Li4O24Si8V4,0
Hf4Sb4,0
P4Se12Sn4,0
NO,0
Cu4Nb8S16,0
Ce2Ru4,0
Ba3O20Si4TeZn6,0
H4N4O16Zn4,0
C2Na2F4,1
C26CdLiO8,0
Bi6Hf6,0
Ge2Hf2S2,0
C2O3,1
Be15Cu8Zr6,0
PtH2,1
CaCu3O12Ru4,0
F4O4Xe2,0
Ca3C,1
C2Fe4,0
Ag4Ge2O8Zn2,0
SnS2Ti5Br12,0
InCu(MoO4)2,1
Ni8Si2Zn24,0
P2Pt3S8,1
C2Cl2Mo2,1
NaLi2As,1
Cl6O24Sm2,0
Br2F2Sm2,0
Eu4Ge4Ni4,0
F12In2K2Rb4,0
Al2Ba3Si2,0
CaPd2Si2,0
F4H2Rb2,0
Au6Sc2,0
Bi2MnZr6,0
C2K2Os2O4Br8,1
Ta2VZn2O8,1
K3S4Sb,0
F12H16N6Sc2,0
InSiSe3,1
CuAuO2,1
B14Cd6O28,0
O14Ru4Tl4,0
Cl2Pb2,1
Gd4Hf4O14,0
Ag2V2O8,1
Au2Sb2O4,1
Cs12O20Re4,0
Ga2S2,0
HfVO2,1
As6Rb4,0
Nb2Br5,1
Br16O16Pb16Si4,0
Br2Fe2Ba3O5,1
Ba3Ge,1
CuLuTe2,0
Cl2La2,0
Ga12PtTb4,0
I4Ni4S4,1
As8Hf12,0
B2O2Cr3,1
AlBiBr6,1
ZrSiO4,1
Se3Ir4S5,1
SeS2Mn3Br4,1
OSbBr2,1
As4B2Cs6,0
Ir4O8,0
AlCo,0
F24H12O4Sb4,0
Tl2Br6,1
FeNaAs2Te6,1
Eu4Ge4Pd8,0
MnSSeSi,1
Al3Te4,1
Fe2Lu8,0
Hf2Pd,0
Cr2I2Te2,1
In2Zn2O5,1
Cl6Gd2,0
Co4Na8O10Rb4,0
As4O10,1
DyTe3,1
Tl3Rh,1
C3N4,1
Lu16O24,0
Br2Ga2Te2,1
Cs6H10Pt2,0
As2Se5,1
Ba4H4Sb4S8,1
Ru2S2,1
Br2Rb2O6,1
Bi8La20Si4,0
Pd3Y,0
Cu4Mg2O6,0
SeI2Mn2,1
H12Pt2Sr4,0
InLiSb2Te6,1
Pt4Sn6,0
Br2Co2Ca4S6,1
Zn2Ga2S5,1
Y8Zn12,0
Bi2EuIO4,0
Ru2C8O8,0
TaSe2,1
BaH2O2,1
Ca2H18O12Re6S8,0
Ca2O30Si8V2,0
Hg3As,1
WAg2Te4,1
Nb2S,1
B2Cu2F2S2,1
GeSeHf3S3Cl4,1
Ir2O6,1
NbSZrI2,1
TeMo,1
Sb2Si3O9,1
Ag2GdIn,0
N2O2Os2Rb2Cl10,1
GaCl2Ni5,1
C12Cl12N12O4P4S12Sb4,0
As4Co4Ta4,0
In3Ir,1
Sn2Nb6S12,1
Au4Y6,0
C2Mg2O6,0
Sb2TeSe2,1
NiTa2O6,1
K8P8,0
Ce2Ru6Si4,0
Ba6O18SnTa4,0
Ce3Cu3Mg3,0
N16O12S20,0
Cr2I2,1
MnAs2K2Cl3S7,1
F14In2Mg2Na4,0
Au2Sb4S12,1
C2F2Ti3,1
BCeGa2Ru2,0
Ce3Pb3Rh3,0
CaF8HfLi2,0
Fe3P3Ti3,0
ZnGa2S4,1
Cl6La6O14Si4,0
Cu4Gd2,0
Pt2Cl8,0
TcCl4,1
Ge4O8,0
As7Gd2Ni12,0
Cl6La6O14Si4,0
Re(AgCl3)2,1
B2Cs2S6,1
Co2I2N2,1
Ge6O18Sb4,0
Co26La2,0
CGd3Sn,0
As4Cl4Sr4Te8,1
CuCa2Cl2Te2,1
Cu2Hg2I2Te2,1
I4P4Se4,0
Ba2IKO6,0
C16Ba8,0
Ga6In6S18,0
Nb6Ni16Si7,0
Al2F18H4O2Pb6,0
Hg2K2Sb2,0
Ag6Ni6O12,0
ScGe5,1
S20Zn20,0
N12S20,0
Te2Ru,1
C8Na4O16Sn2,0
Bi4Na4O8,1
Br2Cu2S3P4,1
HSn3O7,1
CuMnBr2O2,1
NNa4O4,1
AgTlAs2Te6,1
Mg3Xe2,0
Cl8O20,0
IrC3,1
Zn2S4,1
F30Tb8,0
As2Lu2O8,0
O12Sn2Ta4,0
Ba3Bi4Li4,0
Gd6Mn4Si6,0
H28I4N8,0
Cl4N4O4,0
F20N8Ti4,0
Na2Cd4Cl6S8,1
AgCuSSeI2,1
Ag2Bi2S3Cl2,1
Ba8In16S32,0
Ca2Pb2Zn2,0
F32Hf8,0
CsTiO2,1
Be4Fe2O20Si4Y4,0
BHf2S2,1
C2I2Li2Ti2,1
Sb6Zr10,0
Bi2K2Pd2,1
La6Pd8,0
I2Mn2O3,1
CNRb,0
NaPdSb2O6,1
La2O8Pd4,0
LaP3H8O7,1
C4Ti8,0
Cs6F18Fe6,0
Cd4Cl8,1
Ta2Co4S4,1
