formula,2D_probability
XeBiRe3,0.9327540589393297
FeNiWCl2Ag2,0.9276799527493551
RhBr3Re6,0.92574948556606
Cl2Os5,0.9244339272167242
IrI2Ta5,0.9199865254338809
CrI,0.9150753197171969
I2Mn5,0.9144633679108086
I3Tc5,0.9144139178295246
CdTaCl3Mo4,0.9138188299969103
FKrNb,0.9121107570681222
