folder,uid,magstate,is_magnetic,nspins,spin_axis,E_x,E_y,E_z,dE_zx,dE_zy,stoichiometry,spacegroup,spgnum,pointgroup,crystal_type,efermi,gap,vbm,cbm,gap_dir,gap_dir_nosoc,gap_nosoc,minhessianeig,dynamic_stability_phonons,vbm_hse,cbm_hse,gap_dir_hse,gap_hse,Source,asr_id,ehull,hform,thermodynamic_stability_level,ndim,xc,evac,workfunction,PBE_1D,PBED3_3D,derived_from,PBED3_1D,s0_exp,s1_exp,s2_exp,s3_exp,s01_exp,s0_cal,s1_cal,s2_cal,s3_cal,s01_cal,dynamic_stability_stiffness,c_11,evacdiff,dipz,emass_vb_dir1,emass_cb_dir1,Formula
shell/2elements/Ti4I16_1535694_0/tree/AB4/2/TiBr4,Ti2Br8-51a9b10f6b93,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB4,P-1,2,-1,AB4-2-i,-5.376245098164416,1.9505715206382783,-6.351530858483555,-4.4009593378452765,1.9565985227154554,1.998474519078016,1.998474519078016,-0.001261470941314458,high,-7.115330097864465,-3.2605887477918136,3.874807966838415,3.8547413500726515,Derived by element substitution,51a9b10f6b939a67f92038f82f4a5cd1,0.029238074088653532,-1.2153962074812774,3.0,1D,PBE,0.7358776489446848,6.112122747109101,,Ti4Br16-efa92914c1e6,Ti2I8-9291f8505d9b,Ti2Br8-43ecc9154e39,,,,,,,,,,,,,,,,,Ti2Br8
shell/2elements/Ti4I16_1535694_0/tree/AB4/2/TiCl4/TiCl4_new_1D/nm,Ti2Cl8-313939e97c8a,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB4,P-1,2,-1,AB4-2-i,-5.950060876672936,2.597145746603087,-7.24863374997448,-4.651488003371393,2.597145746603087,2.6009014209485724,2.6009014209485724,,,,,,,Derived by element substitution,313939e97c8a07a33dceda76a1bd8803,0.0955407567411064,-1.456217709915019,3.0,1D,PBE-D3,0.69721938552636,6.6472802621992955,Ti2Cl8-39bbc0736d7b,Ti4Cl16-ce925d88f467,Ti2Cl8-39bbc0736d7b,,,,,,,,,,,,,,,,,,Ti2Cl8
shell/2elements/V8F40_1533109_0/tree/AB5/6/VH5/VH5_new_bulk/nm,V8H40-f5876cda6712,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB5,Pnma,62,mmm,AB5-62-cd,4.449636623124263,0.0,,,0.0,0.0,0.0,,,,,,,Derived by element substitution,f5876cda6712a2ee4fe5d5de3008e918,0.2346301305277123,0.10566277676656337,2.0,3D,PBE-D3,,,V2H10-f86eeea67c34,,V8F40-6132bfd650a6,V2H10-e3b1951d8082,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,V8H40
shell/2elements/V8S32_16797_0/tree/AB4/2/V4Te16-AB4-2-i-0,V4Te16-d94b97d206fc,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB4,P-1,2,-1,AB4-2-i,-2.6493412271462953,0.5601495759801218,-2.9294160151363564,-2.3692664391562346,0.5601495759801218,0.5754079421340168,0.5754079421340168,-2.6558487471506366e-15,high,-3.0141674726352266,-1.9603099774863426,1.053857495148884,1.053857495148884,Derived by element substitution,d94b97d206fc829f7244ede30d55b930,0.09649516397787936,-0.09690492568999645,3.0,1D,PBE,1.1387577698251907,3.788098996971486,,V8Te32-c3fe6621b31a,V4S16-14390926776b,V4Te16-d963cdd1306b,,,,,,,,,,,high,3.559000992728465e-08,,,,,V4Te16
shell/2elements/W4Br16_423461_0/tree/AB4/10/Mo2Br8-AB4-10-l-m-n-o-0/Mo2Br8-AB4-10-l-m-n-o-0_new_1D/nm,Mo2Br8-ab4e43bdc968,NM,False,2.0,z,0.0,0.0,0.0,0.0,0.0,AB4,P2/m,10,2/m,AB4-10-lmno,-4.659231437352096,0.24900109920135094,-4.7837319869527715,-4.5347308877514205,0.2509087773605527,0.19360729937319654,0.19360729937319654,,,,,,,Derived by element substitution,ab4e43bdc96896ad4de27e142d4868b5,0.12140623134521744,-0.38431550016460037,3.0,1D,PBE-D3,0.8547502847006393,5.513981722052735,Mo2Br8-0d5a72ec89e8,Mo2Br8-e042e13f5445,Mo2Br8-0d5a72ec89e8,,,,,,,,,,,,,,,,,,Mo2Br8
shell/2elements/W4Br16_423461_0/tree/AB4/10/Mo2Cl8-AB4-10-l-m-n-o-0/Mo2Cl8-AB4-10-l-m-n-o-0_new_bulk/nm,Mo4Cl16-0be750a1d40a,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB4,C2/m,12,2/m,AB4-12-gij,3.5701800142688054,0.03860940513418454,3.5508753117017133,3.589484716835898,0.0762707895211765,0.0,0.0,,,,,,,Derived by element substitution,0be750a1d40a2935d46e336e2b077a09,3.884336532422594e-05,-0.8436321290480351,3.0,3D,PBE-D3,,,Mo2Cl8-46dd32debd96,,W4Br16-58432676f9a7,Mo2Cl8-9809bdfb2639,,,,,,0.0,0.96,0.0025885496050722656,0.03693397504047424,0.0,,,,,,,Mo4Cl16
shell/2elements/W4Br16_423461_0/tree/AB4/10/W2I8-AB4-10-l-m-n-o-0,W2I8-d0daf0b2628b,AFM,True,2.0,y,-1439343.7648238079,-1439344.4044753814,-1439343.7384154059,0.026408401936350856,0.6660599756287411,AB4,P2/m,10,2/m,AB4-10-lmno,-3.6618639611642427,0.0,,,0.0,0.0,0.0,-1.6652605704786525e-15,high,-4.053787448071887,-3.3925421292439313,0.7089109911555416,0.6612453188279557,Derived by element substitution,d0daf0b2628b475f0cdb63b59f1e7783,-0.05338692153476785,-0.05338692153476785,3.0,1D,PBE,1.0889347910804417,4.750798752244684,,W4I16-108ed1ee7f44,W2Br8-8e005529058a,W2I8-8a4c3d3f4f5d,,,,,,,,,,,,,,,,,W2I8
shell/2elements/Zr2Cl8_1537550_0/tree/AB4/2/Zr2Br8-AB4-2-i-0/Zr2Br8-AB4-2-i-0_new_1D/nm,Zr2Br8-7a6f7f845200,NM,False,2.0,z,0.0,0.0,0.0,0.0,0.0,AB4,P-1,2,-1,AB4-2-i,-4.953059093451817,2.9891450990035064,-6.44763164295357,-3.4584865439500634,2.9891450990035064,3.0407184665409317,3.0407184665409317,,,,,,,Derived by element substitution,7a6f7f845200ab9608bd31532f6048a8,0.09529031292350054,-1.3090967134647555,3.0,1D,PBE-D3,0.8337217960937913,5.786780889545608,Zr2Br8-6b8438256a11,Zr2Br8-373b325f8040,Zr2Br8-6b8438256a11,,,,,,,,,,,,,,,,,,Zr2Br8
shell/2elements/Zr2Cl8_1537550_0/tree/AB4/2/Zr2I8-AB4-2-i-0/Zr2I8-AB4-2-i-0_new_bulk/nm,Zr2I8-20d0a09a094b,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB4,P2/c,13,2/m,AB4-13-eg,3.317574637643932,1.5041310367142784,2.565509119286793,4.069640156001071,1.5957160444537561,1.91064702161127,1.8154703980906168,,,,,,,Derived by element substitution,20d0a09a094b49ce84cd2b23ee5ad29c,-0.04862337368727476,-0.9148449542397259,3.0,3D,PBE-D3,,,Zr2I8-fcc511868d75,,Zr2Cl8-4e925757ebc1,Zr2I8-02c95a22dc06,,,,,,0.0,0.92,1.1657341758564144e-14,0.08029796962391789,0.0,,,,,,,Zr2I8
shell/3elements/Ag4Cl4O8_2310062_0/tree/ABC2/51/Ag2Br2O4-ABC2-51-f-j-0,Ag2Br2O4-eafabe63afcb,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC2,Pmma,51,mmm,ABC2-51-fj,-4.482714761301574,1.3529285430072848,-5.159179032805216,-3.8062504897979315,1.6980757542279012,1.7050748371287638,1.3567767177349084,-0.18849810970239197,low,-6.455205616316612,-3.31103946264685,3.377691944507318,3.1441661536697625,Derived by element substitution,eafabe63afcb7be99cb5a3ed583ee36d,0.4826168245505118,0.320734886775659,1.0,1D,PBE,0.6148966333572283,5.097611394658802,,Ag4Br4O8-33a635ac65f2,Ag2Cl2O4-3f3a32690714,Ag2Br2O4-823c8758a361,,,,,,,,,,,high,4.672848521226367e-08,,,,,Ag2Br2O4
shell/3elements/Ag4Cl4O8_2310062_0/tree/ABC2/51/Ag2I2O4-ABC2-51-f-j-0/Ag2I2O4-ABC2-51-f-j-0_new_1D/nm,Ag2I2O4-f0c1bf145246,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC2,Pmma,51,mmm,ABC2-51-fj,-4.525608700665072,0.9470696497462203,-4.999143525538182,-4.052073875791962,1.18233713024381,1.1663871704916597,0.932552303241339,,,,,,,Derived by element substitution,f0c1bf14524613a64a5a296223147922,0.47915551169787635,0.3834505653145106,1.0,1D,PBE-D3,0.701997160407337,5.2276058610724085,Ag2I2O4-20607ccb3e84,Ag4I4O8-39a08a36ac32,Ag2I2O4-20607ccb3e84,,,,,,,,,,,,,,,,,,Ag2I2O4
shell/3elements/Ag4Ru4F28_4331396_0/tree/ABC7/4/Ag2Ru2H14-ABC7-4-a-0/Ag2Ru2H14-ABC7-4-a-0_new_bulk/nm,Ag4Ru4H28-9e3e2d24bf37,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,ABC7,P2_1/c,14,2/m,ABC7-14-e,3.698378946472929,0.7967110518861569,3.3000234205298504,4.096734472416007,0.9612386598669134,0.9650296178845763,0.803175224933379,,,,,,,Derived by element substitution,9e3e2d24bf3778ac8cc124c3c3d08c80,0.16181450817912613,0.16181450817912613,3.0,3D,PBE-D3,,,Ag2Ru2H14-53fdc38a567e,,Ag4Ru4F28-458c5c4b7f6e,Ag2Ru2H14-b76091fc572b,,,,,,0.019001906958028007,0.0,0.009189651519049272,0.9718084415228799,0.0,,,,,,,Ag4Ru4H28
shell/3elements/AgF12Sb2_4027805_0/tree/AB2C12/2/AgH12Sb2-AB2C12-2-d-i-0,AgSb2H12-9a7d0ff92ce5,NM,False,1.0,z,0.0,0.0,0.0,0.0,0.0,AB12C2,P-1,2,-1,AB2C12-2-ei,-3.836878002054256,0.0,,,0.0,0.0,0.0,-3.693559679929798,low,,,0.0,0.0,Derived by element substitution,9a7d0ff92ce5b83cbff2cddfb47b9541,0.4566345384116441,0.4566345384116441,1.0,1D,PBE,0.44948439025385967,4.286362392308115,,AgSb2H12-7ec50da887bf,AgSb2F12-350c75846865,AgSb2H12-6ce21662e19c,,,,,,,,,,,high,9.367804410750991e-09,,,,,AgSb2H12
shell/3elements/AgTa2F12_1509318_0/tree/AB2C12/2/AgNb2F12/AgNb2F12_new_1D/nm,AgNb2F12-6deeb90975aa,FM,True,2.0,y,-2658881.3503595903,-2658881.8663618006,-2658881.525192453,-0.1748328627400042,0.34116934784833575,AB12C2,P-1,2,-1,AB2C12-2-hi,-7.42148201848787,0.7685275168145651,-7.805745776895153,-7.0372182600805875,0.825716291969739,0.8329583146474357,0.7743072055887454,,,,,,,Derived by element substitution,6deeb90975aa8dbc5304f97c3926e60a,0.06077330533804792,-2.6365667376983897,3.0,1D,PBE-D3,0.8405812807922592,8.262063299280129,AgNb2F12-6d81f6c59582,AgNb2F12-45bec44741d8,AgNb2F12-6d81f6c59582,,,,,,,,,,,,,,,,,,AgNb2F12
