formula,sg,xc,flg
F12K4Mn4O12P4,14,"{'pbe': {'am': 16.49, 'tm': 16.0}}",
Br2O12Sb8,12,{'pbe': {}},
Ba2LaO6Sb,148,{'pbe': {}},
Ba2Ge6O18Sr4,2,{'pbe': {}},
Ag3Ge3Yb3,189,{'pbe': {}},
Co2PdSe12Ta4,12,{'pbe': {}},
Br2Eu2H2,129,"{'pbe': {'am': 14.2, 'tm': 14.0}}",
Na12O16V4,198,{'pbe': {}},
Lu4O26Te10,2,{'pbe': {}},
Ba2F18Zn7,2,{'pbe': {}},
ScZn,221,{'pbe': {}},
CoO6OsSr2,87,"{'pbe': {'am': 4.62, 'tm': 4.58}}",
Na8O8Se4,70,{'pbe': {}},
DyMoO6Sr2,225,"{'pbe': {'am': 5.9, 'tm': 4.0}}",
H16Mg3O16P2,12,{'pbe': {}},
CoNaO2,166,{'pbe': {}},
Pd6Si3,189,{'pbe': {}},
Cl2Sc2,166,"{'pbe': {'am': 1.53, 'tm': 1.52}}",
Ga4Ge2Li4S12,43,{'pbe': {}},
B4Ru2,59,{'pbe': {}},
Ga2Gd6Mn2S14,173,"{'pbe': {'am': 52.1, 'tm': 52.0}}",
Cd8O8Si4,70,{'pbe': {}},['hp']
Mn2P2,194,"{'pbe': {'am': 4.47, 'tm': 3.95}}",['th']
Nb6S12Sn2,182,{'pbe': {}},
As6In6,63,{'pbe': {}},"['th', 'hp']"
Ga2Sr,191,{'pbe': {}},
Au2InZr,225,{'pbe': {}},
K12O12Sb4,198,{'pbe': {}},
Bi2Ga2In4S12,11,{'pbe': {}},
La8O36Se12,62,{'pbe': {}},
Sn8Te24Tl16,62,{'pbe': {}},
C2Na2Pt,164,{'pbe': {}},
F7KSc2,65,{'pbe': {}},
Cl6Cs2V2,194,"{'pbe': {'am': 5.0, 'tm': 4.79}}",
Ca6NaO18Si4Ti,2,"{'pbe': {'am': 1.3599999999999999, 'tm': 1.25}}",
Br4Ca2,136,{'pbe': {}},['ht']
Hf3Ru3Si3,189,{'pbe': {}},
Co2La2Zn4,63,{'pbe': {}},
Hf16Ir8,227,{'pbe': {}},
F18Fe6O2,63,"{'pbe': {'am': 34.12, 'tm': 34.05}}",
Br20Nb4,55,"{'pbe': {'am': 0.03, 'tm': -0.03}}",
Si6,113,{'pbe': {}},['th']
F4Pd2,136,"{'pbe': {'am': 0.25, 'tm': 0.25}}",
K2Mn2P2,129,"{'pbe': {'am': 4.0, 'tm': 3.41}}",
Fe4Ni4Si4,62,"{'pbe': {'am': 8.31, 'tm': 6.83}}",
Co2P4W2,194,{'pbe': {}},
Cu2F2Se2Sm2,129,"{'pbe': {'am': 12.12, 'tm': 11.99}}",
Ge4S12Sn4,14,{'pbe': {}},
B2BaO6Sn,148,{'pbe': {}},
Ni10P6Sr2,63,{'pbe': {}},
C2H8Cd2Cl4N4O2,2,{'pbe': {}},
Fe7O14Zn8,166,"{'pbe': {'am': 27.24, 'tm': 26.82}}",['ht']
Mo4Na4O20Sb4,14,{'pbe': {}},
C2Cl2Cu2O2,31,{'pbe': {}},
In16O24,61,{'pbe': {}},['hp']
Al40Sc2V4,227,{'pbe': {}},
Br28Cs4La8,62,{'pbe': {}},
AuLi2Tl,216,{'pbe': {}},
C6FeN6Pt,225,"{'pbe': {'am': 4.02, 'tm': 4.0}}",
Ba2O14Si4V2,87,"{'pbe': {'am': 2.46, 'tm': 2.0}}",
B6Ba6Gd2O18,148,"{'pbe': {'am': 14.02, 'tm': 14.0}}",
Cu4K4S4,33,{'pbe': {}},
Mn6O18Y6,185,"{'pbe': {'am': 24.6, 'tm': 24.0}}",
Cu2H4Na2O13Si4,2,{'pbe': {}},
Ca2O2,194,{'pbe': {}},['th']
C8H12In4O20,122,{'pbe': {}},
B4Mo2,166,{'pbe': {}},
AlB6LuO18Sr6,148,{'pbe': {}},
Mo2Ni6,59,{'pbe': {}},
Cr6H2O16,11,"{'pbe': {'am': 7.28, 'tm': 5.67}}",['th']
Cr4H8Li4O18,9,{'pbe': {}},
La2O28Pb2,227,{'pbe': {}},
Na10O32W8Y2,88,{'pbe': {}},
C12F8N4Te2,2,{'pbe': {}},
Co7In14Zr9,225,"{'pbe': {'am': 2.3, 'tm': 1.75}}",
Al4Ca6N8,15,{'pbe': {}},
As,229,{'pbe': {}},['hp']
Ni28Sn12Y8,64,{'pbe': {}},
Mo6S8Sb,148,{'pbe': {}},
Ag3F6In,225,{'pbe': {}},['ht']
Ag2Cr4Te8,227,"{'pbe': {'am': 15.11, 'tm': 11.01}}",
As2Be2Na2,194,{'pbe': {}},
C8H24N8Ni2O12,164,"{'pbe': {'am': 4.28, 'tm': 4.0}}",
AlO4P,10,{'pbe': {}},['hp']
Fe2Li4O8Si2,7,"{'pbe': {'am': 8.02, 'tm': 8.0}}",['th']
Ag2Au2Te8,13,{'pbe': {}},
B6Co21Ta2,225,"{'pbe': {'am': 23.68, 'tm': 19.37}}",
InPd3,123,{'pbe': {}},
Gd8O28Si8,14,"{'pbe': {'am': 56.07, 'tm': 56.0}}",
Cs2F6KY,225,{'pbe': {}},
Hf3Ir3Sn3,189,{'pbe': {}},
C4CoHgN4Se4,82,"{'pbe': {'am': 3.04, 'tm': 3.0}}",
Br4Cu4Se8,14,{'pbe': {}},
Ge2Na4O12Te2,163,{'pbe': {}},
Cs2Mo4O16Sm2,15,"{'pbe': {'am': 10.66, 'tm': 10.0}}",
Cu2In2Te4,122,{'pbe': {}},
Na8S20Si8,63,{'pbe': {}},
C16Br24La24,20,{'pbe': {}},
CdGeLi2,225,{'pbe': {}},
FNa3O4S,160,{'pbe': {}},
GdPPt,187,"{'pbe': {'am': 7.2, 'tm': 7.12}}",
Al16Cu36,215,{'pbe': {}},
Cl8Cu2Ga2,112,{'pbe': {}},
Fe2N4W2,194,"{'pbe': {'am': 7.19, 'tm': 7.06}}",
Er4Mg2Si4,127,"{'pbe': {'am': 10.8, 'tm': 10.72}}",
Ba8Co4O16,14,"{'pbe': {'am': 20.32, 'tm': 20.0}}",
C4O12Zn2,15,"{'pbe': {'am': 8.32, 'tm': 8.09}}",
AlO,225,{'pbe': {}},['ht']
HoTl,221,"{'pbe': {'am': 3.49, 'tm': 3.46}}",
C2Nb6,59,{'pbe': {}},['th']
Bi12O32Re4,199,{'pbe': {}},['ht']
Mg2RuTm2,139,"{'pbe': {'am': 3.27, 'tm': 3.08}}",
Cl6Rb2Sc2,194,{'pbe': {}},
N12Ta10,193,{'pbe': {}},
B4Cl5La4,12,{'pbe': {}},
CsO2,191,"{'pbe': {'am': 3.04, 'tm': 3.01}}",['ht']
BPd3Sc,221,{'pbe': {}},['th']
Co6Si10Y4,72,{'pbe': {}},
Fe12O4Ti12,227,"{'pbe': {'am': 25.91, 'tm': 17.67}}",
Au6Mg18,165,{'pbe': {}},
In12S14,11,{'pbe': {}},
C4H24N16O16,14,{'pbe': {}},
KS,166,"{'pbe': {'am': 1.02, 'tm': 1.01}}",
Cs2,141,{'pbe': {}},['hp']
Ca4,62,{'pbe': {}},['hp']
Br2Mo6S6,148,{'pbe': {}},
C10H24N4O10S4,2,{'pbe': {}},
Cs4Cu4Se8Ti2,132,{'pbe': {}},
As4Cu4O14,15,"{'pbe': {'am': 3.3, 'tm': 3.07}}",
Co2GeSc,225,"{'pbe': {'am': 1.53, 'tm': 1.02}}",
H16O20P4Zn2,2,{'pbe': {}},
Co4Sb8Y20,62,{'pbe': {}},
C4F8,14,{'pbe': {}},
As2EuMn2,164,"{'pbe': {'am': 12.64, 'tm': 12.02}}",
Co2Se4,58,"{'pbe': {'am': 1.22, 'tm': 1.12}}",
B2Ni8Y2,191,{'pbe': {}},
Au2Cl8Cs2,15,{'pbe': {}},
Ba4O16Rb4V4,62,{'pbe': {}},
Pb2S2,12,{'pbe': {}},
CInTi3,221,{'pbe': {}},
Mo8Ni10Re12,136,{'pbe': {}},['th']
Ba4P16Te8,62,{'pbe': {}},
S2Sn2,2,{'pbe': {}},
B11Li,160,{'pbe': {}},['th']
EuP2Pd2,139,"{'pbe': {'am': 6.9, 'tm': 6.68}}",
Ge12Lu6Mn6,65,"{'pbe': {'am': 16.76, 'tm': 12.46}}",
Be4Cl16Na8,62,{'pbe': {}},
Cu4Eu4,62,"{'pbe': {'am': 29.06, 'tm': 28.91}}",
Cl18Ta6Tl4,12,{'pbe': {}},
C9La7Os4,12,{'pbe': {}},
Mn2Rb4Se4,72,"{'pbe': {'am': 10.03, 'tm': 10.0}}",
Ag2S,225,{'pbe': {}},['ht']
Ca6N6V2,63,{'pbe': {}},
Co2Ge4Sc4,12,{'pbe': {}},
Ca16,140,{'pbe': {}},['hp']
Cs2I17La10Os2,12,{'pbe': {}},
IrYb,221,"{'pbe': {'am': 0.58, 'tm': 0.5700000000000001}}",
Cd2Se2,186,{'pbe': {}},
O24P6PbTi4,148,{'pbe': {}},
I20La4Rb8,62,{'pbe': {}},
AlCaHSi,156,{'pbe': {}},
C4Fe4Si8,62,{'pbe': {}},['th']
Mo8N14,186,{'pbe': {}},['th']
F12K2Nb2,116,{'pbe': {}},
Ce2O8Zr2,50,{'pbe': {}},['th']
C2Li2,71,{'pbe': {}},
Be26Sc2,226,{'pbe': {}},
In4O16P4,62,{'pbe': {}},
CoMnRhSi,216,"{'pbe': {'am': 5.27, 'tm': 5.0}}",['th']
Bi6CaO20P4,2,{'pbe': {}},
BaBi2Mg2,164,{'pbe': {}},
B12Na4O28Se4,14,{'pbe': {}},
Cu4Gd4,62,"{'pbe': {'am': 28.86, 'tm': 28.76}}",
Ag2As2Ca2O8,63,{'pbe': {}},
F13Na5Zr2,12,{'pbe': {}},
C2Os4Si2Tb2,63,"{'pbe': {'am': 12.11, 'tm': 11.99}}",
Na4O14V4Zn2,113,{'pbe': {}},
Sb4Sn2Ti10,140,{'pbe': {}},['th']
In4Sc2,65,{'pbe': {}},
BiCl6Cs2Na,225,{'pbe': {}},
F28K4Pd4Zr4,52,"{'pbe': {'am': 8.25, 'tm': 8.0}}",
C12Na4O12,70,{'pbe': {}},
Br8N24,110,{'pbe': {}},
Eu4Pd4Sn4,62,"{'pbe': {'am': 28.04, 'tm': 27.68}}",
H16Mo2N4O4S4,15,{'pbe': {}},
As4K12S12,198,{'pbe': {}},
Fe16Zr8,194,"{'pbe': {'am': 36.44, 'tm': 24.48}}",
N2Nb2,194,{'pbe': {}},
Ge4Re2,12,{'pbe': {}},
Cu4S8Ta2Tl2,40,{'pbe': {}},
NaO13Ti8,148,{'pbe': {}},
Al4Ca4H4O20Si4,19,{'pbe': {}},
O6ReSr2Y,225,{'pbe': {}},
Cl6Rb2Sb,225,{'pbe': {}},
Ba4Cu8P8,70,{'pbe': {}},
Al4Pd4Y4,62,{'pbe': {}},
Ca4Ir4O12,62,{'pbe': {}},
Nb2S4,194,{'pbe': {}},
Li2Mo6Se6,176,{'pbe': {}},
Ag6P4S16Y2,15,{'pbe': {}},
K3LuO8V2,164,{'pbe': {}},
NiTe2,164,{'pbe': {}},
Ca4O16W4,64,{'pbe': {}},"['th', 'hp']"
Br12Mn2Rb8,167,"{'pbe': {'am': 10.08, 'tm': 10.0}}",
EuIr2Si2,139,"{'pbe': {'am': 6.9, 'tm': 6.77}}",
Ba,229,{'pbe': {}},
Nd4O14Pt4,227,"{'pbe': {'am': 12.51, 'tm': 12.0}}",
IrO4Sr2,139,{'pbe': {}},
Ag2Nb6O16,72,{'pbe': {}},
Ge2Mn2Sm,139,"{'pbe': {'am': 10.57, 'tm': 9.93}}",
Bi4O16Ta4,2,{'pbe': {}},
Co2Nb8S16,176,"{'pbe': {'am': 0.89, 'tm': 0.62}}",
Be2F8K2Pb,166,{'pbe': {}},
Hf8Ni2P2,124,{'pbe': {}},
Co2SnTa,225,"{'pbe': {'am': 1.78, 'tm': 1.62}}",
K8O24Os2,227,{'pbe': {}},['ht']
Ge4Na4Nb4O20,14,{'pbe': {}},
Cu8F8NaS8Sr7,99,{'pbe': {}},['th']
B6Ir6Mg6,180,{'pbe': {}},
BaCd2Sb2,164,{'pbe': {}},
Al4H4O16Si4,14,{'pbe': {}},
Ba2Ce2O6,74,{'pbe': {}},['ht']
C4B24,63,{'pbe': {}},
Al6Lu20Os2,194,{'pbe': {}},
CaTe,221,{'pbe': {}},['hp']
B2GdRh3,191,"{'pbe': {'am': 7.19, 'tm': 7.04}}",
C3B4Ni4Y3,139,{'pbe': {}},
Cd4KP3,166,{'pbe': {}},
N4Re2,12,{'pbe': {}},['th']
Cl6Ni2Rb2,194,"{'pbe': {'am': 4.13, 'tm': 3.93}}",
Pb2Pt4Sm4,127,"{'pbe': {'am': 23.27, 'tm': 22.32}}",
I6Sc2,148,{'pbe': {}},
Rb,225,{'pbe': {}},['hp']
Co2In6Y16,186,{'pbe': {}},
Cl16,138,{'pbe': {}},
Br12In4Mn4,62,"{'pbe': {'am': 20.03, 'tm': 20.0}}",
Ca2N,166,{'pbe': {}},
B2Ta4,140,{'pbe': {}},
Ba4F2In2O6,129,{'pbe': {}},
As4Cu2Pr2,129,"{'pbe': {'am': 4.31, 'tm': 3.8200000000000003}}",
Br32Si8,205,{'pbe': {}},
B4Fe2Nb4,127,"{'pbe': {'am': 4.08, 'tm': 3.63}}",
LuO8P2Rb3,164,{'pbe': {}},
C2Ge2V4,194,{'pbe': {}},
GeMg2,225,{'pbe': {}},
Au3Gd3Mg3,189,"{'pbe': {'am': 21.85, 'tm': 21.81}}",
C12Cr4Sc8,55,{'pbe': {}},
Al4F16H16N4,135,{'pbe': {}},
Pd2Ta2,129,{'pbe': {}},
IO3Rb,160,{'pbe': {}},
Ca4H16O36Se8,14,{'pbe': {}},
N8Os4,205,"{'pbe': {'am': 4.51, 'tm': 4.48}}",['th']
Cl8Mg3Na2,166,{'pbe': {}},
Cr4Cs4Li4O16,14,{'pbe': {}},
C8Cu8N8S8,61,{'pbe': {}},
Pt,225,{'pbe': {}},
Bi2O3,164,{'pbe': {}},
Fe4K4O28P8,14,"{'pbe': {'am': 20.11, 'tm': 20.0}}",
AgCl6Cs2Nd,225,"{'pbe': {'am': 3.24, 'tm': 3.0}}",
Cd2Gd,164,"{'pbe': {'am': 7.45, 'tm': 7.42}}",
B4Ni12,62,{'pbe': {}},
In3Pd3Sm3,189,"{'pbe': {'am': 17.78, 'tm': 17.42}}",
Mg3Tl3Y3,189,{'pbe': {}},
Al16Rh7Zr6,225,{'pbe': {}},
BiDy,225,"{'pbe': {'am': 4.83, 'tm': 4.83}}",
Ge6Pd6Y6,44,{'pbe': {}},
Ta22,81,{'pbe': {}},
Bi4Cl16Te14,2,{'pbe': {}},
BBe2F2KO3,155,{'pbe': {}},
GeMn2Ru,216,"{'pbe': {'am': 4.55, 'tm': 2.01}}",
O18Te3Yb6,150,"{'pbe': {'am': 6.13, 'tm': 6.0}}",
Co12Ge24Sc12,55,{'pbe': {}},
MnPtSn,216,"{'pbe': {'am': 4.21, 'tm': 3.63}}",
As2BaNi2O8,148,"{'pbe': {'am': 4.19, 'tm': 4.04}}",
Au2Ga2O4,194,{'pbe': {}},['th']
Al4Cl16Cu4,33,{'pbe': {}},
Br,225,{'pbe': {}},
Ni3Ti3,2,{'pbe': {}},
DySb,221,"{'pbe': {'am': 4.72, 'tm': 4.72}}",['hp']
K2O14P4Y2,63,{'pbe': {}},
I2S2Tl2,129,{'pbe': {}},
K8O6Sb4,186,{'pbe': {}},
Al10Ta20,136,{'pbe': {}},
C4Re2,194,{'pbe': {}},['th']
Fe4Te4Y10,63,"{'pbe': {'am': 7.69, 'tm': 2.91}}",
Al2F10H4K4O2,11,{'pbe': {}},
AgKO,216,{'pbe': {}},['th']
Cs2F14Rb4Si2,127,{'pbe': {}},
Eu2K2O16W4,15,"{'pbe': {'am': 12.79, 'tm': 12.0}}",
CaGaHSn,156,{'pbe': {}},['th']
Mn4Sb2,129,"{'pbe': {'am': 12.27, 'tm': 11.5}}",
Au2Si2Y,139,{'pbe': {}},
Mo16N4Ni8,227,{'pbe': {}},['th']
Na2Nb2Se4,194,{'pbe': {}},
AlO8S2Tl,150,{'pbe': {}},
Br12Cu8N8O2,114,"{'pbe': {'am': 17.26, 'tm': 15.59}}",
Mn2O6Ti2,148,"{'pbe': {'am': 10.01, 'tm': 10.0}}",
La4O12Ti2Zn2,14,{'pbe': {}},
Gd2Sn4Zn2,129,"{'pbe': {'am': 14.42, 'tm': 14.11}}",
CLi2,225,"{'pbe': {'am': 1.83, 'tm': 1.82}}",['ht']
Mn3O18Sb6,150,"{'pbe': {'am': 14.93, 'tm': 14.9}}",
NbSe2,42,{'pbe': {}},
H8Li3N4Na,82,{'pbe': {}},
B16Ru16Tm8,142,{'pbe': {}},
C2Al2Cr4,194,{'pbe': {}},
Fe4Ge4Li8O16,62,"{'pbe': {'am': 16.11, 'tm': 16.0}}",
Cl30W6,12,"{'pbe': {'am': 6.78, 'tm': 6.0}}",
C2H12N12O10,7,{'pbe': {}},
AgCdSb,216,{'pbe': {}},
Br16Cl4Sr10,85,{'pbe': {}},
O8Si4,7,{'pbe': {}},['th']
NO3Rb,221,"{'pbe': {'am': 2.99, 'tm': 2.0}}",
C4K4N4S4,57,{'pbe': {}},
Al3B6Ni20,225,{'pbe': {}},
O24Sc2Si6Sr9,148,{'pbe': {}},
Ag4F14In2Zn2,44,{'pbe': {}},
Ge4Na12S14,15,{'pbe': {}},
Au2K2Na4O4,58,{'pbe': {}},
F6Hg3Nb,162,{'pbe': {}},
Ga2Pb6Zr10,193,{'pbe': {}},
Cl10Cs4Ir2O2,63,"{'pbe': {'am': 4.26, 'tm': 3.8}}",
K2PdTe2,71,{'pbe': {}},
I4Nb4O8,62,{'pbe': {}},
CsF6Sb,148,{'pbe': {}},
AlCo2Nb,225,"{'pbe': {'am': 2.29, 'tm': 2.0}}",
In8O28P8,14,{'pbe': {}},
Cr16Zr8,194,{'pbe': {}},
Ge12Ir8Se12,200,{'pbe': {}},
Cl6LaRb3,225,{'pbe': {}},['ht']
C2O14Si2Y4,2,{'pbe': {}},
Be6Mn8O24Si6Te2,218,"{'pbe': {'am': 40.02, 'tm': 40.0}}",
As2Li2Mn2,129,"{'pbe': {'am': 7.82, 'tm': 7.45}}",
Ga2La,191,{'pbe': {}},
LaTe,221,{'pbe': {}},['hp']
Ca2Cl2F2,129,{'pbe': {}},
Co16Ge7Zr6,225,{'pbe': {}},
Cr4Gd4Ge4O20,55,"{'pbe': {'am': 40.44, 'tm': 40.0}}",
Ba8O12Zn4,15,{'pbe': {}},
Cs4Mg2Mo4O24,14,"{'pbe': {'am': 16.29, 'tm': 15.79}}",
GeTi3,225,"{'pbe': {'am': 1.69, 'tm': 1.58}}",['th']
Be2Pd6,63,{'pbe': {}},
H20N6O4P2S2,2,{'pbe': {}},
La3Mn2O14Sb3,166,"{'pbe': {'am': 10.04, 'tm': 9.98}}",
B4Cr2Ir10Mg4,127,{'pbe': {}},
F8Li2Sc2,88,{'pbe': {}},
Ca4Ge4Mg4,62,{'pbe': {}},
Ba12Ga12N20,15,{'pbe': {}},
Ag8S12Si4,14,{'pbe': {}},
Al3Mg,221,{'pbe': {}},['th']
Ag4Na4O4,139,{'pbe': {}},
O12Ta4Zn2,136,{'pbe': {}},
C4Na6O16,15,"{'pbe': {'am': 2.13, 'tm': 2.0}}",
O6Re2,167,{'pbe': {}},['hp']
Gd8Mg2,227,"{'pbe': {'am': 63.27, 'tm': 63.27}}",
Cr2Se4Ti,12,"{'pbe': {'am': 8.26, 'tm': 7.39}}",
Mg2Rh,139,{'pbe': {}},
Cl16Na4Sc4,60,{'pbe': {}},
H8Mg2N4O16,14,{'pbe': {}},
As2K2O8,122,"{'pbe': {'am': 4.42, 'tm': 4.19}}",
O14Ru4Sr6,68,"{'pbe': {'am': 8.22, 'tm': 8.04}}",
As2CaF12,115,{'pbe': {}},
Lu8Te12,70,{'pbe': {}},
Ba2Cd,139,{'pbe': {}},
Be15Cu8Hf6,225,{'pbe': {}},
Co7Ga16Hf6,225,{'pbe': {}},
As2CrFe2O2Sr2,139,"{'pbe': {'am': 1.19, 'tm': 0.8300000000000001}}",
Ca2Mn2O17Si4,12,"{'pbe': {'am': 11.24, 'tm': 10.66}}",
O12Sc6Te,148,{'pbe': {}},
Cd4O28P8Si2,15,{'pbe': {}},
C4B4Dy2,127,"{'pbe': {'am': 9.43, 'tm': 9.27}}",
HgRb2SnTe4,121,{'pbe': {}},
Co8Sn32Sr4,66,{'pbe': {}},
Lu4O8V8,141,{'pbe': {}},
F10Sb2Tl4,63,{'pbe': {}},
Ce2O2P2Zn2,129,"{'pbe': {'am': 2.03, 'tm': 1.8900000000000001}}",
O4Se4TiY4,12,{'pbe': {}},
K4O12,140,"{'pbe': {'am': 4.2, 'tm': 4.0}}",
Ba2F8Pd2,140,"{'pbe': {'am': 0.23, 'tm': 0.22}}",
Pt4Y12,62,{'pbe': {}},
C8B16Sc8,135,{'pbe': {}},
Mo16Ni8Re6,136,{'pbe': {}},['th']
O2Zn2,186,{'pbe': {}},['ht']
BaPtSn3,107,{'pbe': {}},
Al40Lu2V4,227,{'pbe': {}},
As2BaO8Zr,12,{'pbe': {}},
Cu18P6,165,{'pbe': {}},
Ir6O18Sr6,15,{'pbe': {}},
Al2Zn,164,{'pbe': {}},
Bi4Cr4O12,62,"{'pbe': {'am': 12.53, 'tm': 12.0}}",['ht']
Ca2Fe2O2S2,186,"{'pbe': {'am': 8.06, 'tm': 8.01}}",
Cl14Nb6Te2,164,{'pbe': {}},
C8H16In4K4O24,88,{'pbe': {}},
IrLi,187,{'pbe': {}},
Cr4Nb2,227,{'pbe': {}},
C4As4Cl4F12O8,14,"{'pbe': {'am': 4.63, 'tm': 4.24}}",
C8H12Gd2N2O18,13,"{'pbe': {'am': 14.19, 'tm': 13.86}}",
CaO2,139,{'pbe': {}},
Nb4O16Sb4,33,{'pbe': {}},
B12Os12Ta12,55,{'pbe': {}},
C2Ag2N2O2,11,{'pbe': {}},
C24Br4F16N4O8,33,{'pbe': {}},
CLa3Sn,221,{'pbe': {}},
Hf2Sb4,129,{'pbe': {}},
Gd16O24,199,"{'pbe': {'am': 112.09, 'tm': 112.0}}",
La8Ni8Sb24,57,{'pbe': {}},
Ba2Rh4Si18,15,{'pbe': {}},
N2O8P2,122,{'pbe': {}},
O8RbScW2,164,{'pbe': {}},
I7Nb3Te,156,{'pbe': {}},
Rh2Sn2,194,{'pbe': {}},
AlB2Cr2,65,{'pbe': {}},
Li40Pb12,215,{'pbe': {}},
I4Mg2N4,55,{'pbe': {}},
InLiPt,187,{'pbe': {}},
B6F6O18Pb12,176,{'pbe': {}},
ClLi,225,{'pbe': {}},
Au2Si2Y2,186,{'pbe': {}},
F2KMg2NaO10Si4,12,{'pbe': {}},
Br18Rb6V4,194,"{'pbe': {'am': 9.22, 'tm': 8.0}}",
Cu4Eu2,74,"{'pbe': {'am': 14.21, 'tm': 14.11}}",
B4H16Li4,62,{'pbe': {}},
Ba2O6SbTm,225,"{'pbe': {'am': 2.03, 'tm': 2.0}}",
Ge2P6,166,{'pbe': {}},
Na8O3P,221,"{'pbe': {'am': 1.11, 'tm': 1.02}}",['th']
KO3Ta,221,{'pbe': {}},
Al4Lu4O12,62,{'pbe': {}},
Cu2Na4O20S4,14,"{'pbe': {'am': 6.68, 'tm': 6.38}}",
Bi6F20K2,225,{'pbe': {}},
I18Nb12S2,2,{'pbe': {}},
Cu8La2P6,129,{'pbe': {}},
CCl2Sc2,164,{'pbe': {}},
Ge2Mn2Ni2,194,"{'pbe': {'am': 6.84, 'tm': 6.03}}",['ht']
CIN,160,{'pbe': {}},
CoN6O12Tl3,202,{'pbe': {}},
Cu4S6Si2,36,{'pbe': {}},
Cu2Ge2La,139,{'pbe': {}},
Ca8Sn4,62,{'pbe': {}},
Be17Nb2,166,{'pbe': {}},
S8V24,133,{'pbe': {}},
H3Ho,225,"{'pbe': {'am': 3.8, 'tm': 3.79}}",
Ba8Si46,223,{'pbe': {}},
Al2Br14Se2,7,{'pbe': {}},
H16N16S16,62,{'pbe': {}},
C3Ca3Cs3F3O9,189,{'pbe': {}},
C2Lu,139,{'pbe': {}},
Te4,4,{'pbe': {}},['hp']
Cl6Rb2W,225,"{'pbe': {'am': 2.2, 'tm': 2.0}}",
C4H12Ge4N4O4,62,{'pbe': {}},
In2Li2O16W4,15,{'pbe': {}},
Fe4P4,62,"{'pbe': {'am': 1.9500000000000002, 'tm': 1.62}}",
F8K4O2Te2,63,{'pbe': {}},
CdSm,221,"{'pbe': {'am': 5.95, 'tm': 5.95}}",
Cs2N6Sn,147,"{'pbe': {'am': 12.26, 'tm': 12.0}}",
Bi4Cs4Pt2,63,{'pbe': {}},
Na5Nd4O17Si4,82,"{'pbe': {'am': 12.06, 'tm': 11.0}}",
Cl15CoZr6,229,{'pbe': {}},
Ge4Pt4Y2,4,{'pbe': {}},
C4H12La4O28S4,76,{'pbe': {}},
O8V4Zn2,141,"{'pbe': {'am': 8.12, 'tm': 7.99}}",
Hf6Ni4Si6,63,{'pbe': {}},
Cl6K2W,225,"{'pbe': {'am': 2.21, 'tm': 2.0}}",
As4Cd2Ge2,122,{'pbe': {}},
H4K2O4P2,15,{'pbe': {}},
Cu2H2O10S2Tl2,11,{'pbe': {}},
Mn4O12Tb4,62,"{'pbe': {'am': 39.76, 'tm': 39.41}}",
O14Sb2Y6,63,{'pbe': {}},
Cl8N16S24,61,{'pbe': {}},
Ge6V2,223,"{'pbe': {'am': 3.95, 'tm': 3.45}}",
As4Cu2Ho2,129,"{'pbe': {'am': 7.58, 'tm': 7.51}}",
Ge4Li4Nb4O20,62,{'pbe': {}},
Gd12Nb4O16S12,33,"{'pbe': {'am': 84.17, 'tm': 84.0}}",
Br10La4,11,"{'pbe': {'am': 2.08, 'tm': 2.0}}",
Au20La8Mg6,64,{'pbe': {}},
F12H16Mn2N4,186,"{'pbe': {'am': 6.52, 'tm': 6.0}}",
Bi6I18,147,{'pbe': {}},
Na20O20V4,57,{'pbe': {}},
Au6Sc2,59,{'pbe': {}},
Br2Se4Tl10,140,{'pbe': {}},
P2Pd2Pr,139,"{'pbe': {'am': 2.24, 'tm': 2.12}}",
InNi2Sc,225,{'pbe': {}},
Al6Na8O24Si6,218,{'pbe': {}},
Cs8O4S20V4,14,{'pbe': {}},
Co2H4O10S2,15,"{'pbe': {'am': 6.1, 'tm': 6.0}}",
As4I4Se4,14,{'pbe': {}},
Ag4Cs4S8Ti2,132,{'pbe': {}},
Fe2SnV,225,"{'pbe': {'am': 1.87, 'tm': 0.89}}",
BeO,216,{'pbe': {}},"['th', 'hp']"
Ge4Na8Nd4O20,62,"{'pbe': {'am': 11.85, 'tm': 8.0}}",
CaO5Ti,47,"{'pbe': {'am': 4.47, 'tm': 4.01}}",
F6KRb2Ti,225,"{'pbe': {'am': 1.04, 'tm': 1.0}}",
P8S32Y8,142,{'pbe': {}},
BrTl,225,{'pbe': {}},
As4O12Sr2,193,{'pbe': {}},
B6Bi3F3O12,144,{'pbe': {}},
H4N4S32,29,{'pbe': {}},
B24Gd8Os4,55,"{'pbe': {'am': 56.94, 'tm': 55.98}}",
C2Ge2V6,63,{'pbe': {}},
Lu2Te4,129,{'pbe': {}},
Ag6N2O6Se2,161,{'pbe': {}},
Bi2O10P2Pb2,2,{'pbe': {}},
F16H4P4,14,{'pbe': {}},
C4Cl4F12O12S4,14,{'pbe': {}},
Co2GaNi,139,"{'pbe': {'am': 3.61, 'tm': 3.14}}",['th']
Lu4Pd4Zn4,62,{'pbe': {}},
Ba6Cr4O16,15,"{'pbe': {'am': 4.43, 'tm': 4.0}}",
H16O16Pt2Sr4,14,{'pbe': {}},
HgY,221,{'pbe': {}},
Ir6O18Sr6,15,{'pbe': {}},
Li4Na2O24Ru12,2,{'pbe': {}},
