formula,sg,xc,flg
Eu3OPb,221,"{'pbe': {'am': 21.53, 'tm': 21.02}}",
Nb6O12Ti2,148,{'pbe': {}},
B4H20Li2N4Na2,2,{'pbe': {}},
Ga2S2,160,{'pbe': {}},
C2Mn4Si2Y2,63,"{'pbe': {'am': 6.46, 'tm': 5.25}}",
AuCu4Lu,216,{'pbe': {}},
Cd2Mg6,194,{'pbe': {}},
Eu2H2I2,129,"{'pbe': {'am': 14.23, 'tm': 14.0}}",
Cl6K4N6O10Ru2,2,{'pbe': {}},
C2Cl8Cu2Ga2O2,2,{'pbe': {}},
Al8O24,14,"{'pbe': {'am': 25.48, 'tm': 24.52}}",['hp']
Ga4Mg2Sc4,127,{'pbe': {}},
Cs2F6Rh,164,"{'pbe': {'am': 1.04, 'tm': 1.0}}",
C4Cu2Na4O12,14,"{'pbe': {'am': 2.2, 'tm': 2.0}}",
Cu2F7K3,139,"{'pbe': {'am': 0.81, 'tm': 0.77}}",
Pt6Sb8Zr6,220,{'pbe': {}},
In4Ni8Zr8,136,{'pbe': {}},
N4Os2,127,{'pbe': {}},"['th', 'hp']"
Hf18Se2W8,194,{'pbe': {}},
Ca4In4Pd4,62,{'pbe': {}},
Al2CaSi2,164,{'pbe': {}},
Rh4Y4Zn4,62,{'pbe': {}},
P2SiZn,225,{'pbe': {}},['th']
Ca20Ge6Pt14,193,{'pbe': {}},
Bi2O28Ru2,227,"{'pbe': {'am': 18.7, 'tm': 14.01}}",
Nb6Si2,223,{'pbe': {}},
Ga2Gd6O12,36,"{'pbe': {'am': 42.04, 'tm': 42.0}}",
IK3O,221,"{'pbe': {'am': 0.11, 'tm': 0.09}}",
Hg4O12Se4,62,{'pbe': {}},
Cu6Hg3S12Sb4,146,{'pbe': {}},
BaCu2O4Sr,47,{'pbe': {}},
O28P8Sn8,2,{'pbe': {}},
F6ZnZr,225,{'pbe': {}},
Cl12Ta2Te4,2,{'pbe': {}},
Ge6Rh7Yb4,229,{'pbe': {}},
Cs20Sb32,14,{'pbe': {}},
I2Na2O12Pb4,14,{'pbe': {}},
C2Co2Tm2,131,"{'pbe': {'am': 4.5600000000000005, 'tm': 4.34}}",
B12O20Rb4,19,{'pbe': {}},
Ag2As6H4O18,2,{'pbe': {}},
F6TiTl2,164,{'pbe': {}},
Ba2CoO6W,225,"{'pbe': {'am': 3.23, 'tm': 3.0}}",
As2K2Zn2,194,{'pbe': {}},
Br4Cl4Cu2Rb4,64,"{'pbe': {'am': 2.15, 'tm': 2.0}}",
Fe2Sn4,140,"{'pbe': {'am': 4.16, 'tm': 3.16}}",
C2Cl4F10N2S2,2,{'pbe': {}},
Ni4O8Si2,227,"{'pbe': {'am': 8.3, 'tm': 8.04}}",['ht']
C2Ce2Os4P2,63,"{'pbe': {'am': 0.74, 'tm': 0.66}}",
PdYb,221,"{'pbe': {'am': 0.36, 'tm': 0.32}}",
H6Y2,194,{'pbe': {}},"['th', 'hp']"
K2Na6O10W2,12,{'pbe': {}},
Ga4Pd2Y2,63,{'pbe': {}},
Li4O16P4Zn4,33,{'pbe': {}},
Gd8Mn2,227,"{'pbe': {'am': 64.69, 'tm': 55.2}}",
Sb10Zn12,167,{'pbe': {}},
Ca2Ni2Si4,63,{'pbe': {}},
O12Rh4Sr4,62,"{'pbe': {'am': 4.33, 'tm': 4.25}}",['ht']
O8PbSe2Tl2,166,{'pbe': {}},
As16Zn8,14,{'pbe': {}},
Co8O18Ta4,165,"{'pbe': {'am': 24.29, 'tm': 24.0}}",
C4H16Cd2Cl4N8S4,31,{'pbe': {}},
CeO2,225,{'pbe': {}},
C12Fe2N12O10Y2,176,"{'pbe': {'am': 22.67, 'tm': 22.0}}",
Ca4O8Si2,164,{'pbe': {}},['ht']
Au2P2S8Tl4,11,{'pbe': {}},
C4B24Mg2,74,{'pbe': {}},
Pd2SnZr,225,{'pbe': {}},
B4Eu6O12,167,"{'pbe': {'am': 42.56, 'tm': 42.0}}",
AgN,216,{'pbe': {}},['th']
Br12Ca4K4,62,{'pbe': {}},
BePo,216,{'pbe': {}},
Cs8H32N16Zn4,14,{'pbe': {}},
BiGdPd,216,"{'pbe': {'am': 7.16, 'tm': 7.0}}",
Al2Ba8,227,{'pbe': {}},"['hp', 'ht']"
Ba12Sb8Se28,15,{'pbe': {}},
Bi4Ni6S4,199,{'pbe': {}},['th']
Al2Ca4F18Pb2,2,{'pbe': {}},
Mo2Ti2,74,{'pbe': {}},['th']
Cl6Cs3Eu,225,"{'pbe': {'am': 6.5600000000000005, 'tm': 6.0}}",
Cl10Co2Cs6,140,"{'pbe': {'am': 6.08, 'tm': 6.0}}",
Bi10Cl24Ga6,161,{'pbe': {}},
GdNa3O8V2,164,"{'pbe': {'am': 7.24, 'tm': 6.8100000000000005}}",['ht']
Cd4O8Sn2,227,{'pbe': {}},['th']
C8F8O20,92,{'pbe': {}},
Mg4P6Rh7,229,{'pbe': {}},
